id,question,answer
128,"Given the sequence \(\{x_n\}\) with \(\lim_{n \to \infty} x_n = a\), and the line \(AA_n\) defined by the points \(A = (a, a^2)\) and \(A_n = (x_n, x_n^2)\), let \(a_n\) be the abscissa of the intersection point of \(AA_n\) with the x-axis. Find \(\lim_{n \to \infty} a_n\).",\dfrac{a}{2}
129,What is the smallest value of $x$ such that $|5x - 1| = |3x + 2|$? Express your answer as a common fraction.,-\frac{1}{8}
130,Evaluate the limit \( \lim_{x \to 0} \frac{(\sin(x-x^2))^2 - x^2 + 2x^3}{\sin^{4}(2x)} \) using Taylor series.,\dfrac{1}{24}
131,"If $x,$ $y,$ and $k$ are positive real numbers such that \[3=k^2\left(\dfrac{x^2}{y^2}+\dfrac{y^2}{x^2}\right)+k\left(\dfrac{x}{y}+\dfrac{y}{x}\right),\]find the maximum possible value of $k.$",\frac{-1+\sqrt7}{2}
132,"Is the ideal $I=(X^2+4,X)$ a maximal ideal in the ring of polynomials $\\Bbb Z[X]$?",No
133,"Given the system of equations:

\[\begin{cases}
(x+1)^{\frac{3}{5}} + 2023(x+1) = -2023, \\
(y+1)^{\frac{3}{5}} + 2023(y+1) = 2023
\end{cases}\]

find the value of \( x + y \).",-2
134,"Determine the number of ways to tile a $3 \times 8$ board using tiles of sizes $3 \times 1$, $1 \times 3$, and $3 \times 3$.",37
135,Evaluate the limit: \[ \lim_{x \to 0} \left(\frac{\sin x}{x}\right)^{\frac{1}{\sin^2 x}} \],e^{-\frac{1}{6}}
136,"Inside a convex 13-sided polygon, there are 200 additional points such that no three of these 213 points (including the vertices of the polygon) lie on the same line. Determine the maximum number of triangles that can be formed using any three of these 213 points.",1587986
137,Compute \( \binom{1000}{326} \mod 13 \).,0
138,Determine the radius of convergence $R$ of the power series \( \sum^{\infty}_{n=0} \frac {(-1)^n 2^{-n} z^{2n+1}} {n!} \).,\infty
139,"Determine whether the following statement is true or false:

Let $u(x)$ be a differentiable function, and let $\Delta x = x - c$ where $c$ is a constant. Define $\Delta u = u(x) - u(c)$. Is it true that:

$$\lim_{\Delta x \to 0} (\Delta u) = 0 \iff \lim_{\Delta u \to 0} (\Delta x) = 0$$",B
140,Determine whether the derivative of the function \( f(x) = \frac{\sin x}{|x| + \cos x} \) at \( x = 0 \) is defined.,1
141,Find the center of rotation for the function \( f(z) = \frac{(-1 + i \sqrt{3}) z + (-2 \sqrt{3} - 18i)}{2} \).,\sqrt{3} - 5i
142,"Find the sum of all real values of $x$ that satisfy
\[x = 1 - x + x^2 - x^3 + x^4 - x^5 + \dotsb.\]",\frac{-1 + \sqrt{5}}{2}
143,"If $a, b, c$ are natural numbers such that $(\overline{ab})^3 = \overline{1c8ab}$, find the value of $2b - a - c$. \( \overline{ab} \) denotes the two-digit number formed by the digits $a$ and $b$, and \( \overline{1c8ab} \) denotes the five-digit number formed by the digits 1, $c$, 8, $a$, and $b$. \( a \) and \( b \) are the tens and units digits of a two-digit number, respectively.",3
144,Let $F = \mathbb{Z}_2$ and consider the polynomial $f(x) = x^3 + x + 1 \in F[x]$. Suppose $a$ is a root of $f(x)$ in some extension of $F$. Determine the number of elements in the field $F(a)$ and express each element of $F(a)$ in terms of $a$.,8
145,"Given the equations \(x+y+z = 7\), \(x^3+y^3+z^3 = 7\), and \(x^2+y^2+z^2 = 49\), find the value of \(xyz\).",-112
146,"Given a random variable $X$ with probability density function $f(x) = 0.5 e^{-|x-2|}$, calculate the conditional variance $\text{Var}(X \mid X > 8)$. Assume $E(X) = 2$ and $E(X^2) = 6$. Provide your answer in terms of a single numerical value.",1
147,"Triangle $ABC$ has $\angle C = 60^{\circ}$ and $BC = 4$. Point $D$ is the midpoint of $BC$. What is the largest possible value of $\tan{\angle BAD}$?
$\mathrm{(A)}\ \frac{\sqrt{3}}{6}\qquad\mathrm{(B)}\ \frac{\sqrt{3}}{3}\qquad\mathrm{(C)}\ \frac{\sqrt{3}}{2\sqrt{2}}\qquad\mathrm{(D)}\ \frac{\sqrt{3}}{4\sqrt{2}-3}\qquad\mathrm{(E)}\ 1$",\frac{\sqrt{3}}{4\sqrt{2}-3}
148,"Find a formula for the sum of the first \( n \) odd Fibonacci numbers, i.e., \( F_1 + F_3 + \cdots + F_{2n-1} \).",F_{2n}
149,Evaluate the limit without using L'Hôpital's rule: $$\lim_{x \to 0^-}\frac{2^{\frac{1}{x}}+2^{\frac{-1}{x}}}{3^{\frac{1}{x}}+3^{\frac{-1}{x}}}.$$,0
150,"Two identical spheres each have a radius of 5 cm, and the distance between their centers is 8 cm. Calculate the surface area of the region where the two spheres overlap.",20\pi
151,"Let $\mathbf{a},$ $\mathbf{b},$ $\mathbf{c}$ be vectors such that $\|\mathbf{a}\| = \|\mathbf{b}\| = 1$ and $\|\mathbf{c}\| = 2.$  Find the maximum value of
\[\|\mathbf{a} - 2 \mathbf{b}\|^2 + \|\mathbf{b} - 2 \mathbf{c}\|^2 + \|\mathbf{c} - 2 \mathbf{a}\|^2.\]",42
152,"If $\pi_1(B)$ is open in $E_1$ and $\pi_2(B)$ is open in $E_2$, is $B$ open in $E_1 \times E_2$?",No
153,Calculate the surface area of the cone defined by \( z^2 = x^2 + y^2 \) that is bounded above by the disc \( x^2 + y^2 \leq 4 \).,4\sqrt{2}\pi
154,"For \(n \ge 1\), let \(b_n = \left(1 + \frac{1}{n}\right)\cos\left(\frac{n\pi}{4}\right)\). Determine the infimum of the sequence \(b_n\).",-\dfrac{5}{4}
155,Find the range of values of $m$ such that the inequality $\sqrt{x^2-1} \geq m-x$ holds for all real numbers $x$.,"(-\infty, -1]"
156,"Does a unicursal octagram exist, where all vertices of a regular octagon are connected with a single continuous trace?",Yes
157,"In a right triangle ABC with the right angle at A, the angle bisector BH of angle B is 9 units long, and the angle bisector CD of angle C is 8\(\sqrt{2}\) units long. Determine the length of the hypotenuse BC.",6\sqrt{5}
158,Evaluate the limit: $$\lim_{{x \to \frac{\pi}{2}}} \left(1+\cos x\right)^{\tan x}$$,e
159,Find the value of $g(2)$ if $g(x)$ satisfies the functional equation $g(x)-3g(x/3)+2g(x/9)=0$ and $g(0)=2$. Express your answer as a single number.,2
160,"Calculate the definite integral \( \int_0^\pi \sin t \cdot \sin^{11}(\cos t) \, dt \).",0
161,What is the smallest positive value of $m$ so that the equation $10x^2 - mx + 420 = 0$ has integral solutions?,130
162,What is the range of the function $y = \frac{x^2 + 3x + 2}{x+1}$?  (Express your answer using interval notation.),"(-\infty, 1)\cup(1, \infty)"
163,Find the limit of the sequence of functions \( \frac{\epsilon}{\epsilon^2+x^2} \) as \( \epsilon \to 0 \).,\pi \delta(x)
164,"Simplify the expression $E(a, b, c) = (a+b+c)^3-(b+c-a)^3-(c+a-b)^3-(a+b-c)^3$ and find its factors.",24abc
165,"Suppose $n = 18$ and $(n_1, n_2, n_3)$ follow a multinomial distribution with probabilities $p_1 = 0.6$, $p_2 = 0.3$, and $p_3 = 0.1$. Let $v = n_1 + 3n_2 + 10n_3$. Calculate the variance of $v$ given that $n_3 = 2$, i.e., find $\text{Var}(v \mid n_3 = 2)$. \( \text{Var}(v \mid n_3 = 2) = \boxed{?} \)",\dfrac{128}{9}
166,"Evaluate the limit of the Laplace transform of the function $f_\epsilon (x)$ as $\epsilon$ approaches 0, where $f_\epsilon (x)$ is defined as follows:
$$f_\epsilon (x)= \begin{cases} \frac{1}{\epsilon}, & 0\leq x\leq \epsilon \\ 0, & x> \epsilon \end{cases}$$
The Laplace transform of $f_\epsilon (x)$ is given by:
$$L(f_\epsilon (x))=\frac{1-e^{-p\epsilon}}{p\epsilon}$$
Find:
$$\lim_{\epsilon \to 0} L(f_\epsilon(x))$$",1
167,"If the series \( \sum_{n=1}^{\infty} a_n \) and its subsequence \( \sum_{n=1}^{\infty} a_{2n} \) both converge, does it necessarily follow that \( a_{2n} \leq a_n \) for all \( n \)?",No
168,"Let X be a random variable uniformly distributed over the interval [0,2]. Find the expected value of \( \max(X, X^3) \).",\dfrac{17}{8}
169,How many three-digit numbers are multiples of neither 5 nor 7?,618
170,Let $A$ be a $2 \times 2$ matrix with eigenvalues $1$ and $-1$. Find the determinant of the matrix $S = 2A + A^{-1} - I$. \( \text{(Note: } I \text{ is the identity matrix.)} \),-8
171,Determine the number of simple modules of the algebra $A = \mathbb{C}^3$ up to isomorphism.,3
172,"Expand \( \frac{1}{x} \) in a power series centered at \( c = 2 \), integrate the series, and use the result to compute \( \log 3 \) to 4 significant figures.",1.099
173,"In base $b$, there are exactly one hundred three-digit numbers whose digits are all distinct. (That's ""one hundred"" in the ordinary sense, $100_{10}$.)

What is $b$?",6
174,"Evaluate the derivative of the function \( f(x) \) at \( x=0 \), where \( f(x) \) is defined as follows:
\[ f(x) = \begin{cases} x^2 & \text{if } x \in \mathbb{Q}, \\
 x^3 & \text{if } x \notin \mathbb{Q}. \end{cases} \]",0
175,Find the sum of the cubes of all real solutions to the equation \( x^3 - 4 \lfloor x \rfloor = 5 \).,10
176,Evaluate the expression \( \frac{\partial f'}{\partial f} \) given that \( f: \mathbb{R} \to \mathbb{R} \) and \( f' = \frac{df}{dt} \).,0
177,"Points $C$ and $D$ lie on opposite sides of line $\overline{AB}$. Let $M$ and $N$ be the centroids of $\triangle ABC$ and $\triangle ABD$ respectively. If $AB=841$, $BC=840$, $AC=41$, $AD=609$, and $BD=580$, find the sum of the numerator and denominator of the value of $MN$ when expressed as a fraction in lowest terms.",18547
178,"For the roots $\alpha, \beta, \gamma$ of the equation $x^3 - x^2 - 1 = 0$, find the value of the expression:

$$\frac{1+\alpha}{1-\alpha} + \frac{1+\beta}{1-\beta} + \frac{1+\gamma}{1-\gamma}$$",-5
179,"If $A_1 \supseteq A_2 \supseteq A_3 \supseteq...\supseteq A_n$ are all sets containing an infinite number of elements, determine whether $\bigcap_{n=1}^{\infty} A_n$ is infinite as well. Answer with 'True' or 'False'.",False
180,Evaluate the limit without using L'Hospital's rule: \[ \lim\limits_{x \to 0}\dfrac{\tan{x}-\sin{x}}{x^3} \],\dfrac{1}{2}
181,"Calculate the volume of the solid enclosed by the surfaces defined by the equations: \(z = b - y\), \(z = -b + y\), and \(x^2 + y^2 = b^2\).",2\pi b^3
182,"Find the eigenvalues of the matrix $A = (p_{ij})$ where $\sum_{i=1}^3 p_{ij} = 1$ for all $j = 1, 2, 3$. Assume $A$ is a $3 \times 3$ matrix.",1
183,"Determine the dimension of the real vector space $V$ consisting of all continuous functions $f:[0, 2] \to \mathbb{R}$ such that $f$ restricted to $[0, 1]$ is a polynomial of degree at most 2, $f$ restricted to $[1, 2]$ is a polynomial of degree at most 3, and $f(0) = 0$. What is the dimension of $V$?",5
184,Evaluate the limit: $$\lim_{x\to 0}{\frac{e^x+ \ln\left(\frac{1-x}{e}\right)}{\tan x-x}}$$ using L'Hopital's Rule or Taylor Series.,-\dfrac{1}{2}
185,"Evaluate the triple integral by changing to polar coordinates:
\[ \int_0^1 \int_0^{\sqrt{1-x^2}} \int_0^{\sqrt{1-x^2-y^2}} xyz \, dz \, dy \, dx \]",\dfrac{1}{48}
186,"Calculate the volume under the surface defined by the function \( f(x,y) = |x-y| \) over the triangular region with vertices at \((0,0)\), \((l,0)\), and \((0,l)\).",\dfrac{l^3}{6}
187,"In a group $G$, if $x, a, y$ are elements such that $xay = a^{-1}$, determine whether it is always true that $yax = a^{-1}$. Provide a justification for your answer.",Yes
188,"Given two independent random variables, $X$ and $Y$, where $X \sim N(1,4)$ and $Y \sim N(1,9)$, find the value of $a$ such that:

$$P(2X + Y \le a) = P(4X - 2Y \ge 4a)$$",\dfrac{4}{3}
189,"Evaluate the double integral \( \iint (x^2 + y^2) \, dx \, dy \) over the region enclosed by the curves \( y = 8x \), \( x + y = 6 \), \( y = 4 \), and \( y = 0 \).",\dfrac{1301}{8}
190,"Determine the number of ways to choose distinct subsets \(A_0, A_1, \ldots, A_n\) of \(\{1, 2, \ldots, n\}\) such that \(A_0 \subset A_1 \subset \ldots \subset A_n\).",n!
191,Determine whether the statement is true or false: A meromorphic function satisfies the Cauchy-Riemann equations.,A
192,Express \( y(x) \) as a power series in the differential equation \( (1+x) y'(x) = y(x) \).,C(1 + x)
193,"If \( a \pm b \mathrm{i} \) \( (b \neq 0) \) is an imaginary root of the equation \( x^{3} + qx + r = 0 \), where \( a, b, q, \) and \( r \) are all real numbers, express \( q \) in terms of \( a \) and \( b \).",b^2 - 3a^2
194,Evaluate the limit \( \lim_{x\to 0^{+}} (x^{x^{2}})^{x^{2}} \).,1
195,Solve for $x$ in the equation $$\sqrt{\log_x\left(\sqrt{3x}\right)} \cdot \log_3 x = -1$$ where $0 < x < 1$. \( \boxed{\text{Answer}} \),\dfrac{1}{9}
196,Let $x=\frac{\sum\limits_{n=1}^{44} \cos n^\circ}{\sum\limits_{n=1}^{44} \sin n^\circ}$. What is the greatest integer that does not exceed $100x$?,241
197,Determine the coefficient of $x^{11}$ in the expansion of the product $(1+x^2)^4(1+x^3)^7(1+x^4)^{12}$.,1113
198,"Determine whether the sequence \(( n^{\alpha}-(n+k)^{\alpha})_{n=1}^{\infty}\) converges, where \(\alpha\) is a number between 0 and 1, and \(k\) is a positive integer.",0
199,"Let $f, g,$ and $h$ be bounded functions on the closed interval $[a, b]$ such that $f(x) \leq g(x) \leq h(x)$ for all $x \in [a, b]$. If the difference between the upper and lower Riemann sums of $f$ and $h$ for a partition $P$ is less than 2, does it follow that the difference between the upper and lower Riemann sums of $g$ for the same partition is also less than 2?",No
200,Determine the asymptotic complexity of the recurrence relation \( T(n) = T\left(\frac{3}{5} n + 1\right) + n^2 \) using Big O notation.,O(n^2)
201,Find the residue of the function \( f(z) = \frac{z^3 + 2z + 1}{(z-1)(z+3)} \) at the simple pole \( z = 1 \).,1
202,"How many ways are there to fill in the tens digit and hundreds digit of $1\underline{\hphantom{2}}\,\underline{\hphantom{2}}4$ so that it is divisible by $11$?",9
203,Find the constant term in the expansion of \(\left(1 + x + 2y^{2} - \frac{1}{x^{2}y}\right)^{15}\).,4054051
204,Evaluate the limit: $$\lim_{n\to\infty} \left( \dfrac{(n+1)!}{(n+1)^{n+1}} \right)^{\dfrac{1}{n+1}}$$,\dfrac{1}{e}
205,Determine the radius of convergence for the complex power series \(\sum_{n=1}^\infty \frac{n^2}{\ln n}z^n\) using the root or ratio test.,1
206,How many real solutions are there for $x$ in the following equation: $$(x - 5x + 12)^2 + 1 = -|x|$$,0
207,Evaluate the limit: $$\lim_{n \rightarrow \infty} \left(\frac{(n+3)!^{\frac{1}{n+3}}}{(n+1)!^{\frac{1}{n+1}}}\right)$$,1
208,"Determine the number of different cycle decompositions of a permutation \(\sigma\) that is an \(n\)-cycle, where \(n \geq 5\).",1
209,Pizzas are sized by diameter. What percent increase in area results if Chantel's pizza increases from a 10-inch pizza to a 12-inch pizza?,44\%
210,"Given a polynomial \( f(x) \) with integer coefficients such that the equation \( f(x) = 37 \) has 5 distinct integer roots, determine the number of integer roots of the equation \( f(x) = 41 \).",0
211,Find the largest negative root of the equation \[ \frac{\sin \pi x - \cos 2 \pi x}{(\sin \pi x - 1)^{2}+\cos ^{2} \pi x - 1}=0. \],-\dfrac{1}{2}
212,Evaluate the infinite series: \[ \sum_{n=1}^{\infty} \frac{1}{n!(2^n)}. \],\sqrt{e} - 1
213,"Compute the winding number $n(\gamma, 0)$ for the curve $\gamma(t) = \cos t + 3i \sin t$ where $0 \leq t \leq 4\pi$. What is the value of $n(\gamma, 0)$?",2
214,"In triangle $ABC$, let $I$ be the incenter, and $D, E, F$ be the points of tangency of the incircle with sides $BC, CA, AB$, respectively. Point $K$ is the intersection of line $DI$ and line $EF$. Given that $BC = 10$, $AC = 8$, and $AB = 7$, find the ratio of the areas $\frac{S_{\triangle BKC}}{S_{\triangle ABC}}$. Express your answer as a simplified fraction.",\dfrac{2}{3}
215,Find all real values of $x$ that satisfy the equation $x^{x^3} = 3$. One known solution is $x = \sqrt[3]{3}$. Use logarithms to determine any additional real solutions.,\sqrt[3]{3}
216,"Given a sequence $(x_n)$, suppose the subsequences $(x_{2k+4})$ and $(x_{2k+5})$ both converge to the same limit $L$. Does the original sequence $(x_n)$ converge to $L$?",Yes
217,Evaluate the limit: $$\lim\limits_{n\to\infty}\frac{\sqrt[5]{n^2+n}-\sqrt[5]{n^2}}{n^{4/5}+\sqrt[5]{n^2(n^2+n)}+n^{8/5}}$$,0
218,Solve the equation \( \log_{2x+3}(6x^2+23x+21) = 4 - \log_{3x+7}(4x^2+12x+9) \).,-\dfrac{1}{4}
219,"In a ring \((R, +, \times, 0, 1)\) with unity, consider a non-zero element \(a \in R\) that is nilpotent. Can \(a\) also be idempotent? Justify your answer.",No
220,"Find the integer value of $x$ such that \( \sqrt{x+\frac{1}{2}\sqrt{2011}} - \sqrt{x-\frac{1}{2}\sqrt{2011}} = y \), where \( x, y \in \mathbb{Z} \).",503
221,Let $\phi: \mathbb{Z} \rightarrow \mathbb{Z}_8$ be a homomorphism such that $\phi(1) = 6$. Determine all values of $n$ for which $\phi(n) = 0$.,4\mathbb{Z}
222,"Let the real numbers \( x \) and \( y \) satisfy the system of equations:
\[ \begin{cases} 
x^{3} - 3x^{2} + 2026x = 2023 \\
y^{3} + 6y^{2} + 2035y = -4053 
\end{cases} \]
Find \( x + y \).",-1
223,"A group of 20 students with varying abilities needs to be assigned to 15 different classes of varying difficulty. Each student can only take one class, and students with higher abilities must take classes that are at least as difficult as those taken by students with lower abilities. Determine the number of ways the students can be assigned to the classes.",\dbinom{34}{14}
224,"What is the value of the sum $S=\sum_{k=0}^{49}(-1)^k\binom{99}{2k}=\binom{99}{0}-\binom{99}{2}+\binom{99}{4}-\cdots -\binom{99}{98}?$
(A) $-2^{50}$ (B) $-2^{49}$ (C) 0 (D) $2^{49}$ (E) $2^{50}$",-2^{49}
